,x
1,ABCA7
2,ABCB4
3,ABCB6
4,ABCC1
5,ABCC3
6,ABCC6
7,ABCG2
8,ACKR3
9,ACLY
10,ADA
11,ADAM10
12,ADAM12
13,ADAM28
14,ADD1
15,ADD2
16,ADGRB2
17,ADGRD1
18,ADGRG2
19,ADH1C
20,ADORA1
21,ADRA1B
22,AFDN
23,AGER
24,AHNAK
25,AHNAK2
26,AKAP12
27,AKR1B10
28,AKR1B15
29,ALK
30,ALOX15B
31,AMER1
32,AMER2
33,AMOT
34,ANK2
35,ANK3
36,ANKIB1
37,ANKRA2
38,ANKRD13A
39,ANO1
40,ANO10
41,ANO2
42,ANO6
43,ANPEP
44,ANXA1
45,ANXA13
46,ANXA3
47,AP2M1
48,APBB1
49,APBB1IP
50,AQP1
51,AQP10
52,AQP3
53,AQP4
54,ARHGAP19
55,ARHGAP21
56,ARHGAP22
57,ARHGAP28
58,ARHGAP40
59,ARHGEF1
60,ARHGEF11
61,ARHGEF15
62,ARHGEF26
63,ARHGEF5
64,ARL4C
65,ARRB2
66,ARRDC4
67,ARVCF
68,ASGR2
69,ASH2L
70,ASIC1
71,ATG3
72,ATP10D
73,ATP1B3
74,ATP23
75,ATP2B1
76,ATP2B4
77,ATP8A2
78,ATP8B1
79,AXL
80,B2M
81,BACE1
82,BAG3
83,BAIAP2
84,BAIAP2L1
85,BASP1
86,BDKRB2
87,BFSP1
88,BIN2
89,BLNK
90,BMPR2
91,BMX
92,BOC
93,BST2
94,BTK
95,BVES
96,C11orf52
97,C1orf116
98,C4orf19
99,CA9
100,CADM1
101,CALCRL
102,CALD1
103,CAMK2B
104,CASKIN2
105,CAST
106,CAVIN1
107,CAVIN2
108,CAVIN4
109,CCBE1
110,CCDC112
111,CCDC115
112,CCDC124
113,CCDC85C
114,CCDC93
115,CCR3
116,CCR4
117,CD109
118,CD163
119,CD200R1
120,CD226
121,CD274
122,CD2AP
123,CD33
124,CD38
125,CD3E
126,CD3G
127,CD4
128,CD44
129,CD47
130,CD48
131,CD79B
132,CD81
133,CD84
134,CD86
135,CD8A
136,CD8B
137,CD9
138,CD99L2
139,CDAN1
140,CDC42EP1
141,CDC42EP3
142,CDC42EP4
143,CDC42SE1
144,CDH1
145,CDH13
146,CDH15
147,CDH17
148,CDH2
149,CDH26
150,CDH3
151,CDH4
152,CDH5
153,CDH6
154,CDK16
155,CDK5
156,CDK5RAP2
157,CDV3
158,CEACAM5
159,CELSR1
160,CEP162
161,CEP295
162,CFAP157
163,CFLAR
164,CGN
165,CGNL1
166,CHIC2
167,CHRM3
168,CHRNA1
169,CHRNA5
170,CHRNB4
171,CIB1
172,CLCA2
173,CLCN5
174,CLDN11
175,CLDN2
176,CLDN3
177,CLDN4
178,CLDN7
179,CLDN9
180,CLEC5A
181,CLECL1
182,CLIC2
183,CLIC5
184,CLTB
185,CNNM4
186,CNP
187,CNR1
188,COG3
189,COL17A1
190,CORO1B
191,CPPED1
192,CRB3
193,CRYAB
194,CSDE1
195,CSF1
196,CSF1R
197,CSPG4
198,CTNNA1
199,CTNNB1
200,CTNND1
201,CTTN
202,CX3CL1
203,CXADR
204,CXCR2
205,CYBRD1
206,CYFIP2
207,CYTH2
208,CYTH4
209,DAB2
210,DAG1
211,DAGLB
212,DCT
213,DCTN6
214,DDR2
215,DGKG
216,DGKH
217,DIAPH3
218,DLG5
219,DNAJB4
220,DNAJC5
221,DNAJC9
222,DOCK4
223,DOK3
224,DPEP1
225,DSC3
226,DSG2
227,DSP
228,DTNA
229,DYSF
230,ECSCR
231,EDNRA
232,EDNRB
233,EEF2
234,EFNB1
235,EFR3A
236,EFR3B
237,EGFR
238,EHBP1
239,EHD1
240,EHD2
241,EIF5
242,ENAH
243,ENKD1
244,ENO1
245,ENO2
246,ENO3
247,ENOX1
248,ENOX2
249,EPB41
250,EPB41L1
251,EPB41L2
252,EPB41L3
253,EPB41L5
