,Secreted,Membrane
64,DCN,EGFR
295,CLU,TGFBR2
835,LOXL1,FBLN5
2649,EFEMP2,LINGO1
4539,LGALS9,CTNNB1
5002,LGALS9,JUP
5143,LGALS9,SLC1A5
7110,MUC1,CTNNB1
7216,FAS,EZR
7245,FAS,MSN
7263,FAS,RHOA
7473,MUC1,ERBB2
7538,EGFR,CTNNB1
7539,EGFR,CTNND1
7540,EGFR,JUP
7623,SFN,PARD3B
7630,SFN,ARHGAP21
7633,SFN,ARHGEF5
7636,SFN,CGN
7644,SFN,GRB7
7648,SFN,IRS1
7655,SFN,KLC2
7659,SFN,LSR
7661,SFN,MAGI1
7665,SFN,MARK2
7672,SFN,PAK4
7673,SFN,PARD3
7676,SFN,PKP2
7677,SFN,PKP3
7681,SFN,CYTH2
7699,SFN,SIPA1L1
7700,SFN,SIPA1L3
7705,SFN,TJP2
7735,MUC1,JUP
7853,BMP2,BMPR2
7854,BMP7,BMPR2
7978,MET,CTNNB1
8103,MET,CDH1
8551,PEBP4,MAP2K1
9513,NGF,NGFR
10681,JAM3,PARD3
11079,FASLG,FAS
11130,EGFR,PRKCA
11590,FLT1,KDR
11824,CD44,ARHGEF1
11895,TGFB3,TGFBR2
11902,HBEGF,EGFR
11973,VEGFA,KDR
12001,EGFR,TJP1
15127,FASLG,FNBP1
15128,FASLG,PACSIN2
15529,GSN,PTK2B
16259,PRSS23,B2M
17874,LAMA4,GAPDH
18159,TFRC,HFE
18186,FGF1,FGFR2
18264,COL1A1,ITGB1
18420,FAS,RIPK1
18714,GDF5,BMPR2
18717,GDF6,BMPR2
18884,CTSB,MARCKS
19080,LY96,TLR4
19113,LRP8,MAPK8IP1
19160,COL14A1,CD44
19787,LAMC1,NID2
19788,COL4A1,NID2
19789,COL1A1,NID2
19871,TNFSF11,SRC
19965,FAS,CFLAR
19994,HLA-G,CD8A
20760,PRELP,FBLN2
20962,NRG1,ERBB3
21121,DCN,FLNA
21938,NRG1,ERBB2
22160,IGFBP3,CD44
22223,MMP7,CD44
22310,CD44,TIAM1
22621,SFRP1,FZD6
22696,EGFR,PTK2B
22698,EGFR,SRC
22749,BCAN,FBLN2
22750,ACAN,FBLN2
22751,VCAN,FBLN2
22890,CD44,TGFBR1
22996,PTPRZ1,CTNNB1
22997,PTN,CTNNB1
23181,ADAM9,SNX9
23267,SLPI,PLSCR1
23363,IGFBP3,ADAM12
24037,WNT3A,FZD1
24038,WNT5A,FZD1
24529,MDK,NCAM1
24531,MDK,NID2
24986,GH1,GHR
24987,CCL22,CCR4
25158,IFNG,IFNGR1
25428,NPPA,EPB41
25535,FLT4,ITGB1
25897,PTEN,MAGI3
25960,IL10,IL10RA
26407,CD40,MS4A1
26782,VEGFA,GPC1
27490,GSN,SRC
27550,EGFR,PLSCR1
27776,HSPG2,NID2
27778,HSPG2,FBLN2
28476,ELN,FBLN2
28477,ELN,NID2
28662,IL4,IL4R
28787,LGALS3,FCGR2A
29185,FN1,ITGB6
29387,LAMA5,FBLN2
29389,LAMA1,FBLN2
29409,MUC1,SRC
29540,MUC1,CTNND1
29864,CD44,EGFR
29865,CD44,ERBB2
30349,IL6ST,ERBB2
30351,IL6ST,ERBB3
30933,TNFSF13,TNFSF13B
31215,THBS1,ITGB3
31267,GAS6,AXL
31287,VTN,PVR
31501,CD44,EZR
31505,CD44,SRC
31509,CD44,FYN
32096,SLIT2,GPC1
32343,FASLG,FYN
33400,CORT,SSTR1
33650,NMU,NMUR2
33678,PLAU,MAP2K1
33725,CLU,TGFBR1
33843,COL17A1,ITGB4
33850,COL17A1,CTNND1
34060,CCL5,CCR3
34063,CCL3L1,CCR3
34449,EGFR,ERBB3
34494,MUC1,ERBB3
34497,MUC1,EGFR
34516,TNFRSF1A,RIPK1
34649,EGFR,RIPK1
34659,EREG,EGFR
34674,EPO,EPOR
34902,EGFR,MUC1
34940,TNFSF13,FAS
35006,NRG2,ERBB3
35023,CNTN2,L1CAM
35265,LAMA1,ITGB1
35619,KNG1,ITGB2
35861,POMC,MC5R
36605,FN1,FBLN2
36606,NID1,FBLN2
36612,COL18A1,KDR
36796,TNFRSF1B,TRAIP
37011,LGALS1,CD4
37734,CD44,MSN
38274,COL17A1,PPL
39269,EGFR,NCAM1
39371,CD44,NF2
44198,ISG15,RGS3
44204,ISG15,ENO1
44453,EGFR,AKAP12
44456,EGFR,AHNAK
44480,EGFR,AP2M1
47326,EGFR,ERBB2
50103,EGFR,EPN1
54213,TNFRSF1A,FYN
54216,TNF,FAS
54218,TNF,RIPK1
61697,TNF,MAP3K7
70155,COPA,SIPA1L3
71214,PTEN,PTK2B
71218,PTEN,PDGFRA
75363,ANXA1,GAPDH
75365,ANXA1,APBB1
76270,TTR,NGFR
78646,TNFRSF25,RIPK1
79812,APOE,MAPT
80081,NTF3,NGFR
80117,FST,BMPR2
88398,TNFRSF1A,SRC
88463,MMP2,ITGB1
89256,TNFSF10,CFLAR
90542,ERBB3,ERBB2
90673,CD44,ITGB1
90675,CD44,FLOT2
91210,TNFRSF1A,MUC1
91211,TNFRSF1A,MAP3K7
91765,ISG15,ACLY
91770,ISG15,AHNAK
91772,ISG15,ANXA3
91781,ISG15,CALD1
91803,ISG15,DNAJB4
91807,ISG15,EEF2
91813,ISG15,FASN
91815,ISG15,MYOF
91817,ISG15,FLNA
91818,ISG15,FLNB
91826,ISG15,GPI
91842,ISG15,IFIT5
91843,ISG15,IQGAP1
91851,ISG15,MAP4
91852,ISG15,MSN
91854,ISG15,MYH9
91866,ISG15,PHGDH
91906,ISG15,EZR
91909,ISG15,WDR1
92085,SPP1,CEP162
92088,SPP1,MARCKS
92100,SPP1,RAPGEF2
92121,SPP1,SLC39A6
92966,ZP3,MICALL1
96405,APOB,SYVN1
102197,PLAU,PLAUR
103287,ISG15,GAPDH
