,x
1,A1BG
2,A2M
3,A2ML1
4,AADACL2
5,ABHD15
6,ABI3BP
7,ABO
8,AC233755.1
9,ACAN
10,ACE
11,ACE2
12,ACP7
13,ACPP
14,ACR
15,ADA2
16,ADAM12
17,ADAM28
18,ADAM9
19,ADAMDEC1
20,ADAMTS1
21,ADAMTS10
22,ADAMTS12
23,ADAMTS13
24,ADAMTS14
25,ADAMTS15
26,ADAMTS16
27,ADAMTS17
28,ADAMTS18
29,ADAMTS19
30,ADAMTS2
31,ADAMTS20
32,ADAMTS3
33,ADAMTS4
34,ADAMTS5
35,ADAMTS6
36,ADAMTS7
37,ADAMTS8
38,ADAMTS9
39,ADAMTSL1
40,ADAMTSL2
41,ADAMTSL3
42,ADAMTSL4
43,ADAMTSL5
44,ADCK1
45,ADCYAP1
46,ADGRB1
47,ADGRE3
48,ADGRE5
49,ADGRF1
50,ADGRG1
51,ADIPOQ
52,ADM
53,ADM2
54,ADM5
55,AEBP1
56,AFM
57,AFP
58,AGER
59,AGGF1
60,AGRN
61,AGRP
62,AGT
63,AHSG
64,AIMP1
65,AKR1B10
66,ALB
67,ALKAL1
68,ALKAL2
69,AMBP
70,AMH
71,AMTN
72,AMY2B
73,ANG
74,ANGPT1
75,ANGPT2
76,ANGPT4
77,ANGPTL1
78,ANGPTL2
79,ANGPTL3
80,ANGPTL4
81,ANGPTL5
82,ANGPTL6
83,ANGPTL7
84,ANGPTL8
85,ANKDD1A
86,ANOS1
87,ANXA1
88,ANXA2
89,AOAH
90,AOC1
91,AOC3
92,AP002347.1
93,APELA
94,APLN
95,APOA1
96,APOA2
97,APOA4
98,APOB
99,APOC1
100,APOC2
101,APOC3
102,APOD
103,APOE
104,APOF
105,APOH
106,APOL1
107,APOL4
108,APOM
109,APOO
110,ARSI
111,ARSJ
112,ARSK
113,ART4
114,ART5
115,ARTN
116,ASIP
117,ASPN
118,ASTL
119,ATRN
120,AVP
121,AZGP1
122,AZU1
123,B3GAT1
124,BCAN
125,BCHE
126,BDNF
127,BGLAP
128,BGN
129,BMP1
130,BMP2
131,BMP3
132,BMP4
133,BMP5
134,BMP6
135,BMP7
136,BMP8A
137,BMP8B
138,BMPER
139,BPI
140,BPIFA1
141,BPIFA2
142,BPIFB1
143,BPIFB4
144,BPIFC
145,BRINP2
146,BRINP3
147,BTBD17
148,BTC
149,BTD
150,BTN1A1
151,C10orf95
152,C10orf99
153,C11orf45
